
="",="(1)",="(2)"
="",="CBP",="CS"

="Heatpump",="-0.996***",="-0.476***"
="",="(-10.02)",="(-8.68)"

="Income",="-0.0239",="-0.0676***"
="",="(-1.12)",="(-5.92)"

="Size",="0.00713",="0.312***"
="",="(0.19)",="(10.78)"

="Age",="0.0198",="-0.0851***"
="",="(0.62)",="(-5.01)"

="Ethnic",="-0.134",="-0.332***"
="",="(-1.16)",="(-5.44)"

="Dwelling_Age",="0.0117***",="0.000492"
="",="(3.91)",="(0.28)"

="2019.Year",="0",="0"
="",="(.)",="(.)"

="2020.Year",="1.821***",="0.412***"
="",="(20.42)",="(14.02)"

="2021.Year",="1.589***",="-0.0248"
="",="(16.71)",="(-0.76)"

="_cons",="27.17***",="4.294***"
="",="(117.82)",="(32.38)"

="N",="11911",="11911"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
