
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="CBP",="CS",="CBP",="CS",="CBP",="CS",="CBP",="CS"

="Heatpump",="-0.996***",="-0.476***",="-7.922***",="-3.186***",="-6.126***",="-2.266**",="-9.087***",="-0.154"
="",="(-10.02)",="(-8.68)",="(-4.05)",="(-3.93)",="(-3.67)",="(-3.22)",="(-3.77)",="(-0.18)"

="Income",="-0.0239",="-0.0676***",="0.0563",="-0.0358**",="0.0390",="-0.0447***",="0.0676",="-0.0651***"
="",="(-1.12)",="(-5.92)",="(1.78)",="(-2.74)",="(1.39)",="(-3.79)",="(1.91)",="(-5.50)"

="Size",="0.00713",="0.312***",="-0.129*",="0.247***",="-0.0902",="0.267***",="-0.154*",="0.313***"
="",="(0.19)",="(10.78)",="(-2.15)",="(8.99)",="(-1.69)",="(10.49)",="(-2.23)",="(11.01)"

="Age",="0.0198",="-0.0851***",="0.0947*",="-0.0534**",="0.0768*",="-0.0626***",="0.106*",="-0.0836***"
="",="(0.62)",="(-5.01)",="(2.22)",="(-3.10)",="(1.99)",="(-4.03)",="(2.30)",="(-5.41)"

="Ethnic",="-0.134",="-0.332***",="0.204",="-0.171**",="0.131",="-0.208***",="0.251",="-0.294***"
="",="(-1.16)",="(-5.44)",="(1.29)",="(-2.60)",="(0.92)",="(-3.50)",="(1.45)",="(-5.01)"

="Dwelling_Age",="0.0117***",="0.000492",="0.0365***",="0.00989*",="0.0288***",="0.00596",="0.0414***",="-0.00305"
="",="(3.91)",="(0.28)",="(4.06)",="(2.56)",="(3.68)",="(1.74)",="(3.79)",="(-0.79)"

="2019.Year",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2020.Year",="1.821***",="0.412***",="1.795***",="0.427***",="1.807***",="0.433***",="1.787***",="0.447***"
="",="(20.42)",="(14.02)",="(13.71)",="(7.62)",="(15.03)",="(8.47)",="(12.85)",="(9.43)"

="2021.Year",="1.589***",="-0.0248",="1.512***",="-0.0636",="1.526***",="-0.0564",="1.503***",="-0.0398"
="",="(16.71)",="(-0.76)",="(11.04)",="(-1.10)",="(12.19)",="(-1.07)",="(10.31)",="(-0.83)"

="_cons",="27.17***",="4.294***",="30.34***",="5.519***",="29.54***",="5.108***",="30.86***",="4.166***"
="",="(117.82)",="(32.38)",="(33.28)",="(14.62)",="(37.76)",="(15.57)",="(27.63)",="(10.51)"

="N",="11911",="11911",="10221",="10221",="10221",="10221",="10221",="10221"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
