
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="CBP",="CBP",="CBP",="CBP",="CBP",="CBP",="CBP",="CBP",="CS",="CS",="CS",="CS",="CS",="CS",="CS",="CS"

="Heatpump",="-0.764",="-1.012***",="-1.270***",="-0.950***",="-0.782***",="-0.876***",="-1.317***",="-0.834***",="-0.598**",="-0.605***",="-0.473**",="-0.240*",="-0.506***",="-0.331***",="-0.339***",="-0.475***"
="",="(0.536)",="(0.376)",="(0.365)",="(0.267)",="(0.220)",="(0.242)",="(0.221)",="(0.300)",="(0.261)",="(0.180)",="(0.185)",="(0.140)",="(0.107)",="(0.117)",="(0.122)",="(0.173)"

="Size",="-0.223",="0.013",="-0.014",="0.089",="-0.068",="-0.041",="0.041",="-0.157",="-0.072",="-0.094**",="0.019",="0.057",="0.191***",="0.519***",="0.716***",="1.144***"
="",="(0.156)",="(0.091)",="(0.119)",="(0.090)",="(0.079)",="(0.110)",="(0.113)",="(0.138)",="(0.078)",="(0.039)",="(0.069)",="(0.055)",="(0.054)",="(0.089)",="(0.094)",="(0.107)"

="Age",="0.258",="0.095",="-0.104",="-0.019",="0.004",="0.014",="0.081",="0.115",="-0.083",="-0.039",="0.014",="0.040",="-0.035",="-0.059",="-0.109**",="-0.166***"
="",="(0.170)",="(0.132)",="(0.118)",="(0.083)",="(0.067)",="(0.081)",="(0.075)",="(0.119)",="(0.068)",="(0.052)",="(0.052)",="(0.042)",="(0.031)",="(0.039)",="(0.043)",="(0.064)"

="Ethnic",="-0.243",="-1.329***",="0.192",="-0.043",="0.087",="0.272",="-0.745**",="-0.319",="-0.777**",="-1.000***",="-0.448**",="-0.446***",="-0.581***",="-0.121",="-0.204",="-0.259"
="",="(0.556)",="(0.494)",="(0.414)",="(0.276)",="(0.232)",="(0.283)",="(0.312)",="(0.383)",="(0.349)",="(0.222)",="(0.190)",="(0.154)",="(0.103)",="(0.124)",="(0.154)",="(0.246)"

="Dwelling_Age",="-0.022",="0.027**",="0.011",="0.017**",="0.010",="0.010",="0.034***",="-0.017*",="-0.010",="0.007",="0.005",="0.006",="0.005",="0.007",="0.008*",="0.015**"
="",="(0.017)",="(0.011)",="(0.010)",="(0.008)",="(0.006)",="(0.008)",="(0.008)",="(0.010)",="(0.009)",="(0.005)",="(0.005)",="(0.004)",="(0.003)",="(0.004)",="(0.005)",="(0.007)"

="2019.Year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2020.Year",="1.511***",="2.086***",="2.142***",="1.929***",="1.600***",="2.123***",="1.664***",="1.667***",="0.302***",="0.419***",="0.402***",="0.430***",="0.356***",="0.443***",="0.490***",="0.278**"
="",="(0.471)",="(0.340)",="(0.310)",="(0.242)",="(0.197)",="(0.209)",="(0.216)",="(0.258)",="(0.105)",="(0.096)",="(0.083)",="(0.069)",="(0.066)",="(0.064)",="(0.071)",="(0.116)"

="2021.Year",="1.227**",="1.757***",="1.391***",="1.790***",="1.316***",="1.967***",="1.667***",="1.336***",="0.046",="0.003",="0.086",="0.163**",="-0.112*",="0.040",="-0.114",="-0.300**"
="",="(0.536)",="(0.361)",="(0.339)",="(0.254)",="(0.209)",="(0.222)",="(0.226)",="(0.283)",="(0.189)",="(0.112)",="(0.107)",="(0.081)",="(0.062)",="(0.069)",="(0.082)",="(0.132)"

="_cons",="27.922***",="26.937***",="27.380***",="26.416***",="27.200***",="26.615***",="26.921***",="28.467***",="5.161***",="4.522***",="3.589***",="3.443***",="4.007***",="2.985***",="2.923***",="2.238***"
="",="(1.154)",="(0.851)",="(0.691)",="(0.526)",="(0.435)",="(0.494)",="(0.523)",="(0.771)",="(0.541)",="(0.360)",="(0.326)",="(0.244)",="(0.209)",="(0.288)",="(0.332)",="(0.496)"

="N",="406",="785",="844",="1664",="2583",="2004",="2225",="1400",="406",="785",="844",="1664",="2583",="2004",="2225",="1400"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
