
="",="(1)",="(2)",="(3)",="(4)"
="",="CBP",="CBP",="CS",="CS"

="Heatpump",="-1.047***",="-0.862***",="-0.477***",="-0.485***"
="",="(0.113)",="(0.205)",="(0.063)",="(0.112)"

="Income",="0.002",="-0.111**",="-0.069***",="-0.060**"
="",="(0.024)",="(0.049)",="(0.013)",="(0.025)"

="Age",="0.004",="0.071",="-0.098***",="-0.029"
="",="(0.035)",="(0.079)",="(0.019)",="(0.039)"

="Size",="-0.038",="0.156**",="0.321***",="0.282***"
="",="(0.042)",="(0.079)",="(0.033)",="(0.058)"

="Dwelling_Age",="0.018***",="-0.005",="0.001",="-0.002"
="",="(0.003)",="(0.006)",="(0.002)",="(0.004)"

="2019.Year",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="2020.Year",="1.757***",="2.027***",="0.378***",="0.524***"
="",="(0.101)",="(0.190)",="(0.034)",="(0.060)"

="2021.Year",="1.636***",="1.432***",="-0.022",="-0.033"
="",="(0.108)",="(0.200)",="(0.038)",="(0.066)"

="_cons",="26.977***",="27.352***",="3.996***",="4.154***"
="",="(0.252)",="(0.474)",="(0.148)",="(0.260)"

="N",="9160",="2751",="9160",="2751"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
